State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BROCCOLI,BROCCOLI - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,12,25.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BROCCOLI,"BROCCOLI, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7,21.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BROCCOLI,"BROCCOLI, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,12,25.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BRUSSELS SPROUTS,BRUSSELS SPROUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,1,23.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BRUSSELS SPROUTS,BRUSSELS SPROUTS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,5,23.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BRUSSELS SPROUTS,"BRUSSELS SPROUTS, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,25.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BRUSSELS SPROUTS,"BRUSSELS SPROUTS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,5,23.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, CHINESE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,41.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, CHINESE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,47.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, CHINESE, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,41.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, CHINESE, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,47.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, HEAD - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3,16.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, HEAD - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,30.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, HEAD, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3,17.7
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CABBAGE,"CABBAGE, HEAD, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,31.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CARROTS,CARROTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,8,21.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CARROTS,CARROTS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,13,34.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CARROTS,"CARROTS, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CARROTS,"CARROTS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,12,33.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CARROTS,"CARROTS, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CARROTS,"CARROTS, PROCESSING - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CAULIFLOWER,CAULIFLOWER - ACRES HARVESTED,TOTAL,NOT SPECIFIED,1,49.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CAULIFLOWER,CAULIFLOWER - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,5,58
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CAULIFLOWER,"CAULIFLOWER, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,49.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CAULIFLOWER,"CAULIFLOWER, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,5,58
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CELERY,CELERY - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CELERY,CELERY - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CELERY,"CELERY, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CELERY,"CELERY, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CUCUMBERS,CUCUMBERS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,5,13.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CUCUMBERS,CUCUMBERS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,6,26.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CUCUMBERS,"CUCUMBERS, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5,13.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,CUCUMBERS,"CUCUMBERS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,26.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,EGGPLANT,EGGPLANT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,2,36.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,EGGPLANT,EGGPLANT - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,4,44.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,EGGPLANT,"EGGPLANT, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,39.7
VERMONT,50,ALL COUNTIES,10,ADDISON,1,EGGPLANT,"EGGPLANT, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,44.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ESCAROLE & ENDIVE,ESCAROLE & ENDIVE - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ESCAROLE & ENDIVE,ESCAROLE & ENDIVE - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ESCAROLE & ENDIVE,"ESCAROLE & ENDIVE, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ESCAROLE & ENDIVE,"ESCAROLE & ENDIVE, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GARLIC,GARLIC - ACRES HARVESTED,TOTAL,NOT SPECIFIED,6,28.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GARLIC,GARLIC - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,7,26.7
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GARLIC,"GARLIC, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5,27.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GARLIC,"GARLIC, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,27.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GARLIC,"GARLIC, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,45.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GARLIC,"GARLIC, PROCESSING - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,44.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, COLLARD - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,31.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, COLLARD - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,23.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, COLLARD, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,31.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, COLLARD, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,23.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, KALE - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, KALE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,21.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, KALE, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, KALE, PROCESSING - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,31.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, MUSTARD - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, MUSTARD - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,41.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, MUSTARD, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, MUSTARD, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,41.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, TURNIP - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, TURNIP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, TURNIP, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,GREENS,"GREENS, TURNIP, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,HERBS,"HERBS, FRESH CUT - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (Z),54
VERMONT,50,ALL COUNTIES,10,ADDISON,1,HERBS,"HERBS, FRESH CUT - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,35.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,HERBS,"HERBS, FRESH CUT, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (Z),54
VERMONT,50,ALL COUNTIES,10,ADDISON,1,HERBS,"HERBS, FRESH CUT, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,35.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,LETTUCE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,7,18.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,LETTUCE - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,11,20.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7,18.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,11,20.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, HEAD - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,39.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, HEAD - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,7,32.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, HEAD, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,39.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, HEAD, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,7,32.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, LEAF - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5,9.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, LEAF - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,18.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, LEAF, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5,9.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,LETTUCE,"LETTUCE, LEAF, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,18.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, CANTALOUP - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,39.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, CANTALOUP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,39.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, CANTALOUP, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,39.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, CANTALOUP, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,39.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, HONEYDEW - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, HONEYDEW - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,55.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, HONEYDEW, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, HONEYDEW, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,55.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, WATERMELON - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, WATERMELON - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,15.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, WATERMELON, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,MELONS,"MELONS, WATERMELON, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,15.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,OKRA,OKRA - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,OKRA,OKRA - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,OKRA,"OKRA, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,OKRA,"OKRA, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, DRY - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3,15.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, DRY - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,9,29.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, DRY, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3,15.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, DRY, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,9,29.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, GREEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, GREEN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,30.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, GREEN, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ONIONS,"ONIONS, GREEN, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,30.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, CHINESE (SUGAR & SNOW) - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, CHINESE (SUGAR & SNOW) - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,21.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, CHINESE (SUGAR & SNOW), FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, CHINESE (SUGAR & SNOW), FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,21.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, GREEN, (EXCL SOUTHERN) - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, GREEN, (EXCL SOUTHERN) - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,33.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEAS,"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,33.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, BELL - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6,21.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, BELL - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,17,21.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, BELL, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6,15.7
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, BELL, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,17,21.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, CHILE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3,39.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, CHILE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,10,26.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, CHILE, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, CHILE, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,9,26.5
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, CHILE, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PEPPERS,"PEPPERS, CHILE, PROCESSING - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,56
VERMONT,50,ALL COUNTIES,10,ADDISON,1,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,14,15.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,19,20.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,POTATOES,"POTATOES, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,14,14.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,POTATOES,"POTATOES, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,19,20.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,48,12.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PUMPKINS,PUMPKINS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,28,27
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PUMPKINS,"PUMPKINS, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PUMPKINS,"PUMPKINS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,28,27.2
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PUMPKINS,"PUMPKINS, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,PUMPKINS,"PUMPKINS, PROCESSING - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,(H)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,RHUBARB,RHUBARB - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,RHUBARB,RHUBARB - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,1,10.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,RHUBARB,"RHUBARB, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,RHUBARB,"RHUBARB, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,10.1
VERMONT,50,ALL COUNTIES,10,ADDISON,1,RHUBARB,"RHUBARB, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,RHUBARB,"RHUBARB, PROCESSING - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,
VERMONT,50,ALL COUNTIES,10,ADDISON,1,SPINACH,SPINACH - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,SPINACH,SPINACH - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,1,19
VERMONT,50,ALL COUNTIES,10,ADDISON,1,SPINACH,"SPINACH, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,SPINACH,"SPINACH, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1,19
VERMONT,50,ALL COUNTIES,10,ADDISON,1,SQUASH,SQUASH - ACRES HARVESTED,TOTAL,NOT SPECIFIED,22,14.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,SQUASH,SQUASH - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,14,23.4
